Question,1,2,3,N
#HAMRBL,22,26,51,100
#AUGKLN,39,29,32,100
#MONFRK,51,27,22,100
#FREDOR,13,19,68,100
#MNZLEV,34,28,39,100
#WLFHAN,52,27,21,100
#HOFBAY,14,20,66,100
#HERWRD,49,27,24,100
#SCHSTU,54,26,21,100
