Question,1,2,3,N
#MCILIV,52,25,23,100
#ARSBOU,70,18,12,100
#BRIWBA,37,31,32,100
#EVETOT,26,28,46,100
#LEICHE,21,26,53,100
#SOUWAT,58,25,17,100
#STOMNU,14,23,64,100
#BURCRY,41,30,29,100
#SWANEW,41,29,30,100
#WHUHUD,52,27,21,100
